;Table name: Filters_Identity
;MariaDB types
;INT NOT NULL : ID, ID_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Description
;CONSTRAINT PRIMARY KEY (ID, ID_F)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID)
;CONSTRAINT FOREIGN KEY (ID_F) REFERENCES Filters(ID_F)
;ID,ID_F,Description
76,19,Herschel
76,20,Herschel
76,21,Herschel
76,22,Herschel
77,17,Herschel
77,18,Herschel
51,17,Herschel
51,18,Herschel
51,19,Herschel
51,20,Herschel
51,21,Herschel
51,22,Herschel
58,18,Herschel
58,19,Herschel
58,20,Herschel
59,17,Herschel
59,20,Herschel
60,17,Herschel
60,18,Herschel
60,19,Herschel
60,20,Herschel
60,21,Herschel
60,22,Herschel
61,18,Herschel
61,19,Herschel
61,20,Herschel
61,21,Herschel
61,22,Herschel
62,17,Herschel
62,18,Herschel
62,19,Herschel
62,20,Herschel
62,21,Herschel
62,22,Herschel
63,17,Herschel
63,19,Herschel
63,20,Herschel
63,21,Herschel
63,22,Herschel
84,17,Herschel
84,18,Herschel
84,19,Herschel
84,20,Herschel
84,21,Herschel
85,17,Herschel
85,19,Herschel
85,20,Herschel
85,21,Herschel
85,22,Herschel
87,17,Herschel
87,18,Herschel
87,19,Herschel
87,20,Herschel
166,17,Herschel
166,19,Herschel
166,20,Herschel
166,22,Herschel
167,17,Herschel
167,19,Herschel
167,20,Herschel
167,21,Herschel
167,22,Herschel
168,17,Herschel
168,19,Herschel
168,20,Herschel
168,21,Herschel
168,22,Herschel
162,17,Herschel
162,19,Herschel
162,20,Herschel
162,21,Herschel
162,22,Herschel
163,17,Herschel
163,19,Herschel
163,20,Herschel
163,21,Herschel
163,22,Herschel
169,17,Herschel
169,19,Herschel
169,20,Herschel
169,21,Herschel
169,22,Herschel
164,17,Herschel
164,19,Herschel
164,20,Herschel
164,21,Herschel
164,22,Herschel
171,17,Herschel
171,19,Herschel
171,20,Herschel
171,21,Herschel
171,22,Herschel
172,17,Herschel
172,19,Herschel
172,20,Herschel
172,21,Herschel
172,22,Herschel
173,17,Herschel
173,18,Herschel
173,19,Herschel
174,17,Herschel
174,18,Herschel
174,19,Herschel
165,17,Herschel
165,19,Herschel
165,20,Herschel
165,21,Herschel
165,22,Herschel
177,17,Herschel
177,19,Herschel
177,20,Herschel
177,21,Herschel
177,22,Herschel
178,17,Herschel
178,18,Herschel
178,19,Herschel
178,20,Herschel
178,21,Herschel
178,22,Herschel
179,17,Herschel
179,18,Herschel
179,19,Herschel
179,20,Herschel
179,21,Herschel
179,22,Herschel
180,17,Herschel
180,18,Herschel
180,19,Herschel
180,20,Herschel
180,21,Herschel
180,22,Herschel
181,17,Herschel
181,18,Herschel
181,19,Herschel
181,20,Herschel
181,21,Herschel
181,22,Herschel
182,17,Herschel
182,18,Herschel
182,19,Herschel
182,20,Herschel
182,21,Herschel
182,22,Herschel
183,17,Herschel
183,18,Herschel
183,19,Herschel
183,20,Herschel
183,21,Herschel
183,22,Herschel
184,17,Herschel
184,18,Herschel
184,19,Herschel
184,20,Herschel
184,21,Herschel
184,22,Herschel
185,17,Herschel
185,18,Herschel
185,19,Herschel
185,20,Herschel
185,21,Herschel
185,22,Herschel
186,17,Herschel
186,19,Herschel
186,20,Herschel
186,21,Herschel
186,22,Herschel
187,17,Herschel
187,18,Herschel
187,19,Herschel
187,21,Herschel
187,22,Herschel
188,17,Herschel
188,18,Herschel
188,19,Herschel
189,17,Herschel
189,18,Herschel
189,19,Herschel
189,20,Herschel
189,21,Herschel
189,22,Herschel
190,17,Herschel
190,19,Herschel
176,19,Herschel
176,20,Herschel
176,21,Herschel
176,22,Herschel
191,19,Herschel
191,20,Herschel
191,21,Herschel
191,22,Herschel
101,19,Herschel
101,20,Herschel
101,21,Herschel
101,22,Herschel
192,19,Herschel
192,20,Herschel
192,21,Herschel
192,22,Herschel
94,17,Herschel
94,18,Herschel
94,19,Herschel
94,20,Herschel
94,21,Herschel
94,22,Herschel
93,17,Herschel
93,18,Herschel
93,19,Herschel
93,20,Herschel
93,21,Herschel
93,22,Herschel
92,17,Herschel
92,20,Herschel
91,17,Herschel
91,19,Herschel
91,20,Herschel
90,17,Herschel
90,18,Herschel
90,19,Herschel
90,20,Herschel
90,21,Herschel
89,17,Herschel
89,18,Herschel
89,20,Herschel
88,17,Herschel
88,18,Herschel
88,19,Herschel
88,20,Herschel
86,19,Herschel
86,20,Herschel
86,21,Herschel
83,17,Herschel
83,18,Herschel
83,19,Herschel
83,20,Herschel
82,17,Herschel
82,18,Herschel
82,19,Herschel
82,20,Herschel
82,21,Herschel
82,22,Herschel
81,17,Herschel
81,18,Herschel
81,19,Herschel
81,20,Herschel
81,21,Herschel
81,22,Herschel
80,17,Herschel
80,18,Herschel
80,19,Herschel
80,20,Herschel
80,21,Herschel
79,17,Herschel
79,18,Herschel
79,19,Herschel
79,20,Herschel
79,21,Herschel
79,22,Herschel
78,17,Herschel
78,19,Herschel
78,20,Herschel
70,17,Herschel
70,18,Herschel
70,19,Herschel
70,20,Herschel
66,20,Herschel
65,17,Herschel
65,18,Herschel
65,20,Herschel
65,21,Herschel
57,17,Herschel
57,18,Herschel
57,19,Herschel
57,20,Herschel
57,21,Herschel
56,17,Herschel
56,18,Herschel
56,19,Herschel
56,20,Herschel
56,21,Herschel
56,22,Herschel
55,17,Herschel
55,18,Herschel
55,19,Herschel
55,20,Herschel
55,21,Herschel
55,22,Herschel
54,17,Herschel
54,18,Herschel
54,19,Herschel
54,20,Herschel
53,17,Herschel
53,18,Herschel
53,19,Herschel
53,20,Herschel
53,21,Herschel
52,17,Herschel
52,18,Herschel
52,19,Herschel
52,20,Herschel
52,21,Herschel
52,22,Herschel
44,17,Herschel
44,19,Herschel
44,20,Herschel
44,21,Herschel
44,22,Herschel
196,17,Herschel
196,18,Herschel
196,19,Herschel
197,17,Herschel
197,18,Herschel
197,19,Herschel
197,20,Herschel
198,17,Herschel
198,19,Herschel
199,17,Herschel
199,19,Herschel
199,20,Herschel
199,21,Herschel
199,22,Herschel
200,17,Herschel
200,19,Herschel
201,17,Herschel
201,19,Herschel
202,17,Herschel
202,19,Herschel
205,17,Herschel
205,19,Herschel
205,20,Herschel
205,21,Herschel
205,22,Herschel
117,17,Herschel
117,19,Herschel
117,20,Herschel
117,21,Herschel
117,22,Herschel
300,17,Herschel
300,18,Herschel
300,19,Herschel
301,17,Herschel
301,18,Herschel
301,19,Herschel
317,17,Herschel
317,18,Herschel
317,19,Herschel
317,20,Herschel
317,21,Herschel
317,22,Herschel
193,17,Herschel
193,19,Herschel
